work_id,doi,ano,primeiro_autor,author_id,genero_primeiro_autor,primeiro_autor_no_brasil,paises_primeiro_autor
W2801164134,10.1016/j.marpolbul.2018.04.008,2018,Marcelo de Oliveira Soares,A5069983910,MASCULINO,True,BR;ES
W2916297210,10.1016/j.marenvres.2019.01.010,2019,Juliano Silva Lima,A5039676653,MASCULINO,True,BR
W2965487710,10.1016/j.marpolbul.2019.07.013,2019,Felipe Theocharides Oricchio,A5019924833,MASCULINO,True,BR
W4225150289,10.3389/fmars.2022.797411,2022,Marcelo de Oliveira Soares,A5069983910,MASCULINO,True,BR;DE
W2990042655,10.1007/s00338-019-01880-y,2019,Aristóteles Goés‐Neto,A5088728429,MASCULINO,True,BR
W2888849100,10.1590/1676-0611-bn-2017-0339,2018,Yuri Cruz de Paula,A5058772000,MASCULINO,True,BR
W3136012601,10.1002/ece3.7336,2021,Aline P. M. Medeiros,A5075533887,FEMININO,True,BR
W2799935591,10.3390/d10020026,2018,Rafael A. Magris,A5072954955,MASCULINO,True,AU;BR
W4382238330,10.1111/jwas.12946,2023,Max Fredrik Troell,A5072886707,MASCULINO,False,SE
W3123825972,10.1016/j.marpolbul.2021.112021,2021,Ana Carolina Grillo,A5081342027,FEMININO,True,BR
W2998858045,10.3354/esr01025,2020,Milagros López‐Mendilaharsu,A5014277337,FEMININO,True,BR
W3164583063,10.1186/s41200-021-00206-8,2021,Parisa Alidoost Salimi,A5015965966,INDEFINIDO,False,IR
W3083281059,10.1016/j.geosus.2020.09.002,2020,Melgris José Becerra,A5016008541,INDEFINIDO,True,BR
W3127261198,10.12688/f1000research.28318.2,2021,Fabrizio Menardo,A5044673226,MASCULINO,False,CH
W4391683296,10.3390/app14041435,2024,Pedro Agustín Robledo Ardila,A5066885571,MASCULINO,False,ES
W2793328308,10.1016/j.ocemod.2018.02.002,2018,Ricardo M. Campos,A5008018293,MASCULINO,True,BR;PT
W2971751474,10.1007/s00338-019-01856-y,2019,Thomás Nei Soto Banha.,A5045730733,MASCULINO,True,BR
W4404432031,10.1371/journal.pone.0309354,2024,Luis A. Gutierrez,A5111735992,MASCULINO,False,US
W3136198069,10.1590/0102-33062020abb0303,2020,Henrique D. S. Borburema,A5016944169,MASCULINO,True,BR
W4282944333,10.1126/science.abc4916,2022,Gail V. Ashton,A5065912201,FEMININO,False,US
W4321503566,10.1002/ece3.9837,2023,Floriaan Devloo‐Delva,A5066325377,INDEFINIDO,False,AU
W3203439288,10.1038/s43247-021-00275-8,2021,Beatriz Fátima Alves de Oliveira,A5040116769,FEMININO,True,BR
W4289861260,10.3390/w14152415,2022,Rachel Ann Hauser‐Davis,A5045366344,FEMININO,True,BR
W3083455321,10.1016/j.jhazmat.2020.123796,2020,André R. A. Lima,A5038892452,MASCULINO,False,
W3044727565,10.3390/ijerph17155269,2020,Sandra de Souza Hacon,A5066783754,FEMININO,True,BR
W3087338965,10.1016/j.marpolbul.2020.111659,2020,Marcelo Checoli Mantelatto,A5051062119,MASCULINO,True,BR
W3160943459,10.1038/s41598-021-89192-6,2021,Luciana S. Lima,A5027017481,FEMININO,True,BR
W2945169502,10.1016/j.marenvres.2019.05.008,2019,Ana Carolina de Azevedo Mazzuco,A5006736784,FEMININO,True,BR
W2793192241,10.1016/j.marpolbul.2018.03.014,2018,Marcelo Checoli Mantelatto,A5051062119,MASCULINO,True,BR
W2899275114,10.1111/jfb.13858,2018,Henrique Grande,A5084496407,MASCULINO,True,BR
W3161427406,10.1038/s41598-021-89985-9,2021,Luciano Ponzi Pezzi,A5073069111,MASCULINO,True,BR
W2955302084,10.3389/fmars.2019.00437,2019,Rui M. Ponte,A5088615873,MASCULINO,False,US
W3193315633,10.1016/j.scitotenv.2021.149883,2021,Cybelle Menolli Longhini,A5067944373,FEMININO,True,BR
W3138369689,10.3390/su13063356,2021,Walter Leal Filho,A5066374036,MASCULINO,False,DE;GB
W3211459673,10.1016/j.marenvres.2021.105518,2021,Catarina L. Araújo-Silva,A5060989415,FEMININO,True,BR
W2954903439,10.2112/si92-018.1,2019,Karoline Angélica Martins,A5004722412,FEMININO,True,BR
W3035168268,10.1111/ecog.05079,2020,Luisa Fontoura,A5000114997,FEMININO,True,AU;BR
W2796939689,10.1016/j.scitotenv.2018.04.015,2018,Ana Luísa Maulvault,A5075142958,FEMININO,False,PT
