author_id,nome,primeiro_nome,genero,proporcao,prop_feminina_ibge,freq_ibge,motivo,paises,obras
A5033526702,Emily Nishikawa,EMILY,FEMININO,0.9952,0.9952,62271,IBGE,BR,2
A5037627876,Meuris Gurgel Carlos da Silva,MEURIS,INDEFINIDO,,,0,nome ausente do IBGE,BR,2
A5065617234,Melissa Gurgel Adeodato Vieira,MELISSA,FEMININO,0.9967,0.9967,43890,IBGE,BR,4
A5041199171,Danielle Ribeiro,DANIELLE,FEMININO,0.9951,0.9951,35992,IBGE,BR,2
A5008891725,Ailton Alves de Carvalho,AILTON,MASCULINO,0.9968,0.0032,113702,IBGE,BR,2
A5086002935,Abelardo Antônio de Assunção Montenegro,ABELARDO,MASCULINO,1.0000,0.0000,5712,IBGE,BR,4
A5039389207,Hernande Pereira da Silva,HERNANDE,MASCULINO,1.0000,0.0000,510,IBGE,BR,1
A5087677126,Iug Lopes,IUG,INDEFINIDO,,,0,nome ausente do IBGE,BR,1
A5072322545,José Edson Florentino de Morais,JOSE,MASCULINO,0.9962,0.0038,5754529,IBGE,BR,1
A5122297571,B.G. Linhares,,INDEFINIDO,,,0,nome abreviado,BR,1
A5122164216,A.V.B. da Silva,,INDEFINIDO,,,0,nome abreviado,,1
A5122229468,A.A.C. Alcanfor,,INDEFINIDO,,,0,nome abreviado,BR,1
A5122278212,C.V.P. Pascoal,,INDEFINIDO,,,0,nome abreviado,BR,1
A5122039149,D.C. Girão,,INDEFINIDO,,,0,nome abreviado,BR,1
A5122261194,G. Perez,,INDEFINIDO,,,0,nome abreviado,BR,1
A5122073697,S.S.M. Tavares,,INDEFINIDO,,,0,nome abreviado,BR,1
A5103472326,WS Araújo,WS,INDEFINIDO,,,0,nome ausente do IBGE,BR,1
A5008051185,Tainara Rigotti de Castro,TAINARA,FEMININO,0.9954,0.9954,95361,IBGE,BR,1
A5000113291,Dayana Carla de Macedo,DAYANA,FEMININO,0.9977,0.9977,11772,IBGE,BR,1
A5069546762,Daiane Maria De Genaro Chiroli,DAIANE,FEMININO,0.9959,0.9959,244829,IBGE,BR,1
A5024107635,Robson Couto da Silva,ROBSON,MASCULINO,0.9962,0.0038,236282,IBGE,BR,1
A5010783668,Sérgio Mazurek Tebcherani,SERGIO,MASCULINO,0.9971,0.0029,404991,IBGE,BR,1
A5016630882,Tatiana Salerno,TATIANA,FEMININO,0.9972,0.9972,142916,IBGE,BR,1
A5016978116,Amanda Keller Siqueira,AMANDA,FEMININO,0.9961,0.9961,466432,IBGE,BR,1
A5023985793,José Paes de Almeida Nogueira Pinto,JOSE,MASCULINO,0.9962,0.0038,5754529,IBGE,BR,1
A5066187697,Maria de Lourdes Ribeiro de Souza da Cunha,MARIA,FEMININO,0.9966,0.9966,11734129,IBGE,BR,2
A5103924975,Patrícia Kelly Silvestre,PATRICIA,FEMININO,0.9970,0.9970,531065,IBGE,BR,1
A5088238924,Larissa Anuska Zeni Condas,LARISSA,FEMININO,0.9963,0.9963,361845,IBGE,BR,1
A5109509105,Gustavo Henrique Batista Lara,GUSTAVO,MASCULINO,0.9928,0.0072,541480,IBGE,BR,1
A5085644274,Juliano Gonçalves Pereira,JULIANO,MASCULINO,0.9902,0.0098,115736,IBGE,BR,3
A5086685439,Aristeu Vieira da Silva,ARISTEU,MASCULINO,0.9975,0.0025,8707,IBGE,BR,1
A5060412859,Fernando José Paganini Listoni,FERNANDO,MASCULINO,0.9918,0.0082,556346,IBGE,BR,1
